Site,Job Title,Company,Location,Link,Description
Indeed,Frontend Developer (React),Retriever Communications,Remote,https://au.indeed.com/company/Retriever-Communications/jobs/Front-End-Developer-75aa6653658dde36?fccid=5dad73bd409f47fa&vjs=3,"About the role:

 Join our talented team as a React.js developer
 Become a valuable contributor to an exciting greenfield project
 Join a company with more than 20 years of experience building software
 Contribute to our existing products which already cater to thousands of users
 Option to work from home or at our Chatswood-based office (Sydney, NSW)
 Position available to developers Australia-wide. If you are located in another state you will periodically be flown to Sydney for company events
 Join an environment that will constantly be offering opportunities for career development, with clear pathways to more senior positions

Essential

 1+ years working with JavaScript and React
 Ability to take designs and wireframes produced by the product team and turn them into high-quality code
 Familiarity with RESTful APIs and how to call them
 Experience working with Git, a version control repository like Bitbucket / Github
 Experience working in a goal-orientated team, with strong collaboration skills
 Great communication, comfortable working with internal product stakeholders and other engineers
 Australian citizen or PR currently residing in Australia

Desirable

 Experience working with MUI / Material UI libraries
 Experience converting Figma wireframes into production-ready code
 Experience working with Storybook for testing and reviewing components
 Experience using Jest, other React Testing Frameworks
 Experience working with Swagger or equivalent RESTful API documentation
 Experience working with the Atlassian product suite: Jira, Confluence, Bitbucket
 Experience writing React Native applications

Job Type: Full-time
Salary: $80,000.00 – $110,000.00 per year
Benefits:

 Professional development assistance
 Work from home

Schedule:

 8 hour shift

Work Authorisation:

 Australia (Required)

Work Location: Remote"
Indeed,Web Developer/Programmer,University of Wollongong,Wollongong NSW,https://au.indeed.com/rc/clk?jk=d69b6344acab235d&fccid=3a8a0463fde42614&vjs=3,"Fixed Term, full-time appointment (to 30 June 2025) 
  Flexible/remote working arrangements available 
  Level 6/7: $83,130 - $102,937 + 17% Superannuation 
 
 The Faculty of Science, Medicine and Health (SMAH) is positioned to be a major force in connected and science-embedded education and translational science, medical and health research in Australia. Empowered by first-class teaching and driven by active research and discovery towards being in the top 1% of Universities in the world, this Faculty combines the very best of science, with strong capacity for translation to our global communities’ needs and aspirations. 
 Dementia Training Australia (DTA) is funded by the Commonwealth Government as part of its Dementia Training Program initiative. DTA is a University of Wollongong-led consortium which is currently entering its 7th year of operation, bringing together the expertise of Australia’s leading dementia educators from four Australian universities and Dementia Australia. 
 The role will be responsible for carrying out analysis, development and maintenance of Dementia Training Australia’s (DTA) business systems, applications and the technologies that underpin operational requirements. You will also contribute to the development and implementation of software solutions that enable DTA to deliver and report on web-based services that are both efficient and secure. 
 You will be prompted to respond to a selection criteria questionnaire as part of the application process. For further information about this position, please contact Paul Erickson, Technical Lead/Senior Developer via email perickson@uow.edu.au
  
 Note: Visa sponsorship is not available for this position. Only candidates with valid work rights in Australia are eligible to apply 
 Closing Date: Sunday 7 May 2023, 11:59 PM 
 The University of Wollongong is committed to workplace equity, diversity and inclusion. We value and acknowledge the importance of our people’s diverse experiences, talents and cultures that they bring to work with them each day. Embracing diversity and creating inclusion is a key component of attracting and retaining talent in our workforce. The creation of a diverse and inclusive workforce is central to our ability to unlock potential, enhance our success and achieving our vision of being in the Top 1% of universities globally. 
 The University of Wollongong is committed to equality, diversity and inclusion. As an equal opportunity employer, and a recognised leader in gender equality, we encourage and welcome applications from a diverse range of backgrounds and people including: culturally and linguistically diverse, women, disability, LGBTIQ+, and Aboriginal and/or Torres Strait Islander Australians."
Indeed,Web Developer,Pyxel Media,Remote,https://au.indeed.com/company/PYXEL-MEDIA/jobs/Web-Developer-3eedc9eb41f5ca30?fccid=aa53263b29917178&vjs=3,"We're seeking an exceptionally talented individual to join our team! If you consider yourself a website guru and an A player, we encourage you to apply now.
If you're a high achiever looking for an opportunity to prove yourself, we invite you to join our team and help us build our thriving Digital Agency. We're seeking a motivated and confident individual with strong communication skills and digital experience to work in our fun and rewarding team environment.
What are we looking for?

 Minimum 3 years Web Development experience
 Working knowledge and understanding of JavaScript, HTML and CSS skills
 Experience with softwares including Wordpress, Woocommerce, Advanced Custom Fields, Elementor, CSS.
 Knowledge on setting up and building websites from scratch as well as cPanel knowledge for setting up staging websites.
 Ability to translate creative concepts and design templates into flexible code templates
 High level attention to detail and the ability to produce organised, tidy, and well-documented code

Desirable

 Excellent understanding of website usability, accessibility, security and information architecture
 Understanding of SEO requirements and techniques
 Understanding of Web Performance and Googles Core Web Vital scores
 Understanding and appreciation of Conversion Rate Optimization (CRO)

Don't miss this opportunity - apply now and send your CV today! Please note that we guarantee 100% confidentiality and will not pass on your details to any third party without your prior consent.
Job Types: Subcontract, Casual, Contract
Salary: $2,000.00 – $4,000.00 per month
Benefits:

 Work from home

Schedule:

 Day shift
 Morning shift

Supplemental pay types:

 Bonus

Experience:

 Web development (Required)

Work Authorisation:

 Australia (Required)

Work Location: Remote"
Indeed,Junior Front-End Developer - 12-month contract,i motor,Hybrid remote in North Sydney NSW 2060,https://au.indeed.com/rc/clk?jk=3a6cbf84ea0b388e&fccid=baa7eb05df5eccd9&vjs=3,"Company Description
  i-Motor, as part of carsales, provides website solutions both here in Australia and internationally, to automotive OEM's & dealers, as well as dealers in other industries including caravans, bikes, boats, trucks and equipment.
  It has achieved excellent growth since its creation twelve years ago and currently has a team of 40+ employees managing 1,700+ websites.
  What’s on offer:
 
   A place where you can move your career forward, where you’ll be continuously backed to make new ideas happen, and the chance to do work that makes real, significant impact in the world.
   Hybrid working arrangements.
   We’re a certified Great Place to Work, Family Friendly Workplace and WGEA Employer of Choice.
   The support of a highly engaged, high-performing team including a leadership team that’s you’ll actually have face time with.
 
 
 

 Job Description
  What you’ll do:
  As a junior front-end developer, this 12-month fixed term contract will allow you to build on your existing skills, joining our talented development team at i-Motor, you'll work across various projects that will challenge and excite you.
 
   Maintain responsive websites for our dealership customers.
   Assist with quality control and performance optimisation.
   Provide well documented, reliable and maintainable code.
   Research development improvements and keep up to date with best software practices.
   Collaborate and connect with our team of FE, BE and Full-Stack developers.
 
 
 

 Qualifications
  What are we looking for?
 
   Knowledge and experience with HTML, CSS (sass) and JS manipulation of the DOM
   Some knowledge of server-side scripting in any platform
   Experience with performance, optimisation and validation of HTML CSS and JS
   Understanding of browser developer tools
   Keen eye for visual patterns and UI component modularity
   Any experience with AWS, Lambda functions, Node JS or React JS a bonus.
 
  Additional Information
  A few other things we want to let you know about...
 
   i-Motor is an equal opportunity employer who prides themselves on
   fostering a diverse and inclusive workplace. We encourage everyone of all ages, genders and backgrounds to apply. If you’re a candidate with a disability or you’ll need some adjustments to be at your best, let us know how we can provide you with additional support.
   We are a proud Circle Back Initiative Employer which means we are committed to responding to every job applicant.
   Successful candidates joining the i-Motor team are required to undergo
   a National Police Record check and must have full-time Australian working rights on an ongoing basis"
Indeed,Frontend Developer,Tyroola,Remote,https://au.indeed.com/rc/clk?jk=a70dfad4062f2066&fccid=d9770e7024862b2a&vjs=3,"Growing startup on the beach seeks experienced frontend developer full time! 
  About Us. 
   Tyroola is an exciting, dynamic new start-up specialising in the online retail of automotive tyres, operating from Sydney and the Sunshine Coast. Our mission is to become market-leader in the industry through innovation, and optimisation of market processes to provide our customers with the accessibility, and value they deserve. 
   Our business is now expanding at pace, and we are now looking for additional individuals to grow with us. 
   About You. 
   You are a senior frontend developer experienced in designing, developing and maintaining large-scale web applications. We're looking for a team player who loves solving problems in an agile and creative way. 
   Our system is built from scratch to meet the business requirements without compromise, so you should have demonstrable experience in modern JS and CSS frameworks (React, Angular, Bootstrap, Foundation) and their related backend services. We make use of the newest open source technologies where possible to develop best-in-class products - so be very comfortable working with and on open source software. Above all, you should share our desire to create great software! 
   Role requirements. 
   We are looking for someone: 
   
   with several years experience designing, developing and maintaining complex web applications, preferably involving e-Commerce 
   who can create, and test your Cross-browser solutions 
   focusing on clean, Responsive and mobile-first implementations 
   with extensive knowledge with either REST APIs or GraphQL-Backends 
   who is familiar with Gulp, Webpack, Bower 
   with excellent communication skills, attention to detail and the ability to self-manage 
  
  From a senior frontend developer we would like to see some of the following as well: 
   Demonstrable experience in: 
   
   OOP in the ECMAScript 6 stack using a modern frontend framework such as React or Flux 
   Unit Testing (Mocha, Jasmine) 
   Integration Testing (CasperJS or Selenium) 
   designing and implementing RESTFul APIs 
  
  Nice to haves: 
  
   good PHP OOP knowledge 
   working with cloud systems like AWS, Digital Ocean 
   experience with CI/CD (e.g. Jenkins) 
   experience in using any virtualization software (e.g. VirtualBox with vagrant), experience with working with production systems 
   Big Plus: Worked in a Start-up before! 
   
  You’ll take ownership of all things front-end in our products and projects, working as part of our engineering teams. 
   The main focus will be the development of our e-commerce framework, which includes a highly extensible and scalable system, spread over several cloud based servers. 
   We implement designs under the clean code principle and make use of all the tools out there helping, measuring and tracking to improve the code quality. 
   Exciting projects in the coming months will be for example new white-label solutions like we did with Supercheap Auto, our international expansion and deeper integration with our offline partners. 
   About Our Offer. 
  
   The role remote 
   Relaxed environment, working with a small team of dedicated, passionate individuals 
   A flat hierarchy and transparency. You have a chance to directly influence the technology and business. 
   
  Send your application to careers@tyroola.com.au."
Indeed,Junior Front End Developer,Greenstone,Norwest Business Park NSW,https://au.indeed.com/rc/clk?jk=5772d354dc5b50e5&fccid=0fc28d49fd61e40c&vjs=3,"Junior Front End Developer Full Time Opportunity  The Junior Front-end Developer role will support the wider Front-End Development team to maintain, update and enhance the web assets Greenstone manages, including websites, landing pages, and online application forms.  They will work closely with stakeholders, the Development Lead and other Developers to deliver timely, high-quality outcomes by ensuring the level of design and development delivered to the business enables Greenstone to continue to lead the market with innovation and agility.  What are we looking for? 
  
  Up to 1 years professional working experience in the Front-End Web Development space or freelance work experience 
  Working knowledge and understanding of JavaScript, HTML5 and CSS3 skills 
  Experience developing responsive websites for mobile devices 
  Experience using Git for version control, and familiarity with Gitflow 
  Experience using automated task runners and bundlers, such as Gulp, or Rollup 
  Ability to translate creative concepts and design templates into flexible code templates 
  Analytical skills as well as being in touch with the latest developments in search strategy and the latest trends in online behaviour 
  Ability to work as part of a team 
  High level attention to detail and the ability to produce organised, tidy, and well-documented code 
  Ability to manage workflow under pressure 
  
 Desirable 
  
  Tertiary level qualifications (e.g., bachelor's degree or higher) in a relevant computer science discipline 
  Excellent understanding of website usability, accessibility, security and information architecture 
  Understanding of SEO requirements and techniques 
  Understanding of Web Performance and Googles Core Web Vital scores 
  Corporate web design/development experience ideally within the financial services space 
  Experience working with Content Management Systems 
  Experience with one or more server-side languages 
  Experience working in ASP.Net Razor and C# 
  JavaScript library experience such as Svelte or React 
  Wireframing/Design skills 
  Experience working with a headless CMS such as Kontent.ai (formerly Kentico Kontent) 
  Experience using Jira or other products in the Atlassian suite 
  Understanding and appreciation of Conversion Rate Optimization (CRO) 
  Experience working in an Agile environment 
  Ability to code efficiently and effectively 
  Strong communication and organizational skills 
  Ability to develop websites which are cross-browser and cross-platform compatible
 
  
  
  
   
    
     
      
        Our Promise to Our People  We are passionate about our core values of Customer First, We Care, One Team, and Results Driven, which define how we approach our work. We recognise that our colleagues are the key to our success. That's why you can expect to be rewarded for the hard work you put in through job satisfaction, career development and the fantastic range of benefits we offer:
        
        
        Fantastic employee benefits including flexi days, flexible working, annual $1200 travel/parking allowance & more 
        State of the art building facilities including a dedicated & subsidised on-site company café (weekly free lunch) & on-site gym 
        Health & well-being initiatives and programs 
        Opportunity to take part in in-house leadership & emotional intelligence workshops 
        Quarterly award functions and a grand annual conference to recognise our people 
        Retail discounts e.g. movie tickets, Taronga Zoo entry, live shows + more 
        Morsl market (a fully automated self-serve, food and drink marketplace with a wide variety of meals, snacks and drinks) 
        
       Who We Are  We are an innovative company with diverse brands and operating divisions, who work together as one team. We strive to be the best provider of direct financial products by placing customers at the heart of everything we do. We care about what we do and we care about making a positive impact on our community.  We have an inclusive and diverse culture. We work in a positive and energetic environment where you can expect to find professional colleagues, driven to achieve results.  Location  Great central location in Norwest Business Park, Norwest, only a short walk from Norwest Metro station and also direct bus access from Parramatta and Blacktown.  Apply Now"
Indeed,Frontend Developer - Contract - PT,Instabooks,Sydney NSW,https://au.indeed.com/company/Instabooks-US/jobs/Front-End-Developer-2dc61b8006353b4e?fccid=6db1b8382da3e48c&vjs=3,"Frontend Developer - Contract - PT
An exciting Frontend Developer position has become available with the first super intelligent conversational accounting software startup. This is a rare opportunity to join a fast growing startup where you will lead our Frontend development efforts. If you’re intellectually curious, want to develop your leadership skills, and can thrive in an entrepreneurial environment, then this is the role for you!
As a Frontend Developer , you will:
- Build, ship, manage and scale frontend
- Collaborate with engineers, designers and product management
- Provide engineering estimates and technical design before implementation
- Write high quality code, unit tests, measure performance and build monitoring
- Proactively find creative solutions for tough engineering problems
You will have the following skills:
- At least 3+ years of technical experience in software development with a focus on front-end
- Experience with HTML, CSS, Javascript, Angular JS, React JS
- Demonstrated capability of developing complex algorithms
- Excellent written/oral communication and interpersonal skills
Why Instabooks:
- Amazing exposure at one of Australia's fastest growing startups.
- Be apart of the AI + Fintech revolution
- A great environment to deepen your experience and knowledge.
- Endless career opportunities for those that go above and beyond.
- Work with a team that treats culture like a product, it's constantly changing and evolving.
- A great collaborative environment which rewards initiative and thinking out of the box.
- Your hard work will save 400,000,000 unbilled hours wasted on manual bookkeeping
costing Australian businesses $20,000,000,000 a year
Job Types: Full-time, Part-time, Fixed term, Contract
Pay: $100,000.00 per year
Schedule:

 8 hour shift

Expected Start Date: 01/02/2023"
Indeed,Web Developer,Fat Zebra,Remote,https://au.indeed.com/rc/clk?jk=6d06721c8f82f651&fccid=ba35529879730930&vjs=3,"July 28, 2021
 
 
   We are hiring! We’re looking for a Web Developer to join our team. While you may not have heard of our name, there’s every chance we’ve powered at least some of your online payments in the past decade. We’re going through an exciting growth period, and are seeking team members to join work on our Acquiring, Billing, Merchant Services and Risk platforms.
   We are a small team who believe that a workplace should be relaxed, friendly and flexible. We are based Australia-wide, with an established remote-first culture. Sydney based staff may make use of the Surry Hills office (a short walk from Central train station).
   About Fat Zebra
   Fat Zebra - A payments platform for today's internet economy - is a Sydney-based Payment Services Gateway which connects merchants across the APAC region to Banks, Fraud Tools and billing platforms to simplify how they accept payments. We specialise in high volume, real time processing for ecommerce and mobile transactions. 
  Ideal candidates will have:
  
    Experience working alongside designers to turn UX / Design templates into working web applications
    Strong TypeScript / JavaScript experience.
    Proficiency with modern tools like React, Redux, TypeScript and webpack.
    Strong knowledge of modern HTML & CSS
    Experience with at least one front end framework, preferably Bootstrap or Bulma
    Experience building graphs & charts using Highcharts, D3 or similar.
    Experience with Node
    Experience in refactoring / modernising legacy front end code
  
   Note: Fat Zebra engineers come from a varied set of backgrounds. If you’re deeply interested in or passionate about payments, and can demonstrate how you could help us deliver world class web experiences, reach out, even if you have not worked with the specific technologies listed.
   Working At Fat Zebra
   As a Fat Zebra web developer, you will work on delivering exceptional experiences for our merchants. You will have the opportunity to deep dive into cutting edge payments technologies and learn to become a subject matter expert.
   Software Development
  
    You will be responsible for the implementation and extension of our customer-facing products, including PayNow, Merchant Dashboard and Reseller Dashboard.
    Work alongside designers and back-end engineers to produce work according to requirements
    Deliver high performance / scalable solutions
    Design end-to-end solutions when delivering features.
    Submit High Quality PRs
    Review PRs to a high standard
    Take part in business hours support duties
  
   Our Principles
   At Fat Zebra we believe in behaving in a professional & supportive manner. The payments industry is full of complex jargon and overloaded terminology. Mistakes are easy to make. We support both new and existing staff by working to the following principles:
  
    Be polite. Interactions with peers are always kind. Argue against an idea - never against the person.
    Be pragmatic. Seek to deliver on the bigger picture of generating value for our customers over perfection in code.
    Be helpful. We believe the best work-places are ones where we know there is always someone available to help if we need it. Respond promptly when someone asks for help.
    Be bold. Strive to go outside your comfort zone. We are a small team - and we frequently go into uncharted territory. Even if failure is possible, learning is guaranteed.
  
   To apply
   Please send your cv (.pdf, .txt, .doc) to jobs@fatzebra.com. Make sure to put the position you are applying for, along with your full name in the 'subject' of the email."
Indeed,Front End React Developer-Sydney HQ Digital Analytics Company,Elida,Remote in Sydney Central Business District NSW,https://au.indeed.com/rc/clk?jk=c565a74cec35ba75&fccid=449478c8a7b06705&vjs=3,"The Company:
  Elida is working alongside a great digital analytics tech-start up on their search for a Mid-level Front End Developer (React) to join them at an incredibly busy and exciting time to contribute to their Software Engineering effort in 2021. These guys driven forward in leaps and bounds over the last couple of years and, having built an established Dev outfit of some very talented React/Node enthusiasts in Sydney, are now looking for another talented Front End Developers to join them.
  The role:
  As part of a software development team, you will create complex, enterprise-transforming business applications by writing quality software code and, simultaneously, focusing on continual learning and development.
  This is an excellent opportunity for a developer with strong technical skills, a passion for quality and experience of creating and supporting mid-sized web applications. The culture is fit for developers who excel in a fast paced, dynamic, DevOps environment and who relish the opportunity to further their career working as part of an agile energetic scale up.
  What we are looking for:
  You will be an experienced and proactive developer with solid skills in ReactJS. You will have a strong focus on delivering quality through effective design, and experience using modern software practices such as, BDD, TDD, process automation, test automation and Agile. You should hold a basic understanding of relational databases. In addition you will hold the following skills:
  Essential:
 
   Proficient in ReactJS
   HTML and CSS (Sass)
   Comfortable working with JSON and integrating with system back end (developed by our back end development team)
 
  Desirable:
 
   React Native experience or knowledge
   Experience in another frontend framework (Angular)
   Experience working in sprints
   Experience of Agile development approaches and use of Jira or equivalent
   Exposure to AWS technologies
 
  Benefits:
 
   Working from home 5 days a week option
   Operational bonus scheme
   Pension scheme
   Healthcare and Dental
   Subsidised Canteen
   On-site Gym
   Cycle to Work Scheme
   Free fruit everyday
   Summer Party, Winter Party, Christmas Party"
Indeed,Website Developer,Mable,Hybrid remote in Sydney NSW,https://au.indeed.com/rc/clk?jk=cbdaf1a67cb55ce3&fccid=7c2abcca3e1f62fe&vjs=3,"Mable is an equal opportunity employer. We find excellence in diversity and are committed to creating an inclusive environment for all employees. 
  People with lived experience of disability or personal experience with the aged care system are strongly encouraged to apply. 
 
 
  
 
  Our interview processes are inclusive and will accommodate additional needs when required.
 
 
 
   A little about us...
 
 
   Founded in 2014, Mable has become one of Australia's largest and fastest growing healthtech marketplaces. Our platform is an online community of independent support workers who offer their services directly to people who are seeking aged care or disability support.
 
 
 
   We’re thrilled to have been recognised within AFR’s Fast 100 list in 2021, Deloitte’s Tech Fast 50 2021 Awards and we won the Australian Growth & Australian Technology Growth Company of the Year Award 2020! This is an awesome opportunity to join a thriving scale up whose profit for purpose mission is transforming the aged care and disability support sectors.
 
 
 
   Mission: We’re redefining support for disability and aged care in Australia by helping people who are aging or living with disability to connect with independent support people in their community.
 
 
 
   Watch this - 
  What we do
 
 
 
   About the positionAs our WordPress Developer, you will be responsible for development tasks relating to our mable.com.au WordPress website. You will be responsible for both back-end and front-end development including the implementation of WordPress themes and plugins as well as site integration and security updates.
 
 
   We are on a journey of improving our website experience, so this will be a mix of tactical maintenance tasks and long-term strategic development. You’ll be accepting briefs from our team through Jira, but also provide best practices and guidance to us in terms of execution.
 
 
 
   How you will make an impactWe take user experience very seriously at Mable and as such, you will be responsible for delivering exceptional user experience through your implementation and problem-solving skills. We take great pride in making our experience as accessible as possible for a wide range of users and you will contribute towards making sure that our website delivers an exceptional user experience.
 
  What will I be doing?
 
   Designing and building the website front-end to best practice principles
   Work with UX/UI designers and QA to make sure our WordPress website is designed and developed purposefully and meets high accessibility standards
   Designing and managing the website back-end including database and server integration.
   Meeting with stakeholders to discuss website design and function.
   Mentoring junior developersGenerating detailed documentation of the processesBuilding and maintaining WordPress themes and plugins.
   Conducting website performance tests.
   Continuously optimising infrastructure to ensure site speed is maximised. Troubleshooting content issues.
   Conducting WordPress training on new features.
   Monitoring the performance of the live website.
 
  What are we looking for?
 
   Proven work experience as a WordPress developer
   Proven experience mentoring junior developers
   Proven experience leading teams
   Knowledge of front-end technologies including CSS3, JavaScript, PHP, Bootstrap framework, HTML5, and jQuery.
   Ability to work autonomously and proactively seek solutions
   Knowledge of GIT including feature branching, and merge conflicts
   Experience working with debugging tools such as Chrome Inspector and Firebug.
   Good understanding of website architecture and aestetics.
   Ability to manage projects.
   Experience using JIRA and Confluence.
   Good communication skills.
 
 
   Life at Mable
 
 
   \uD83C\uDFE2 
  Sydney CBD Office - Two minutes walk from Town Hall Station, we’ve recently taken over an entire floor of the Hilton Hotel building with state-of-the-art facilities and tools you need to get the job done (hello, #scaleup life).
 
 
   \uD83C\uDFE0 
  Hybrid working model - We love to encourage a healthy balance between team collaboration and home/ family commitments.
 
 
   \uD83D\uDCBB 
  WFH Set Up Allowance - A generous $800 to help you kit out your home office.
 
 
   \uD83D\uDCB5 
  Competitive Remuneration - Everyone at Mable contributes to the bigger picture mission so we want you to feel financially rewarded.
 
 
   ❤️‍\uD83E\uDE79 
  Wellbeing & Mental health - We offer floating public holidays and access to our Employee Assistance Program (App + counselling).
 
 
   \uD83C\uDF82 
  Time away from our desks to recharge - Enjoy additional days off to celebrate your birthday, support your community by tapping into our ‘volunteer day’ or just have a day to yourself through our ‘wellbeing day’.
 
 
   ✈️ 
  Explore the world - You have the opportunity to work from anywhere in the world for up to 4-weeks each year.
 
 
   \uD83D\uDC68\uD83C\uDFFB‍\uD83D\uDC69\uD83C\uDFFB‍\uD83D\uDC67\uD83C\uDFFB‍\uD83D\uDC66\uD83C\uDFFB 
  Family comes first - Make the most of our Paid Parental Leave - a gender neutral policy for primary (14 weeks + super) and secondary (6 weeks + super) carers.
 
 
   \uD83D\uDCAA\uD83C\uDFFE 
  Stay fit - Discounted gym memberships and classes.
 
 
   \uD83E\uDD6A 
  We love to eat - Our pantry and fridges are fully stocked for your convenience.
 
 
   \uD83E\uDEF6\uD83C\uDFFE 
  Diversity & Inclusion - We are constantly empowering our employees and creating a culture of greater inclusion. We are endorsed by Work180 as an accredited employer for women in tech.
 
 
   \uD83C\uDFC6 
  Anniversary Awards - Be rewarded through our recognition program with awesome goodies and rewards to celebrate your successes and tenure at Mable.
 
 
   \uD83D\uDC97 
  Accelerate your career - Be a part of one of Australia's fastest growing Marketplaces. We are a scale-up tech-co and our people are a huge part of this. We want all of our Mablers to feel supported in their careers and for Mable to be the place where they can grow to their full potential.
 
 
 
   Culture within the Mablehood - Our values
 
 
   All About People - We put our customers at the centre of everything we do.
 
 
   Better Together - We are stronger, better and faster when we work together.
 
 
   Challenge Openly - Speak up. Candid discussion helps us make better decisions.
 
 
   Do The Right Thing, Always - We hold ourselves to the highest standard. What we say and do matters.
 
 
   Cr
  Eate Impact - We are passionate about having an impact.
 
 
 
   We are one
 
 
   We’re endorsed by Work180 which showcases our commitment to our policies, flexible working and inclusion practices for women in tech - visit our page here.
 
 
 
   If this role has stood out to you but you don’t feel like you ‘’tick all the boxes’’, we strongly encourage you to apply nonetheless. We value diversity across experience and you might well just bring something to the Mablehood that we are looking for!
 
 
 
   We are a 2023 Circle Back Initiative Employer – we commit to respond to every applicant.
 
 
 
   Where to find us online
 
 
   Glassdoor - https://bit.ly/3z0K328
 
 
   YouTube - https://bit.ly/34L7DlP
 
 
   Instagram - https://bit.ly/3pgAOXk
 
 
   Facebook - https://bit.ly/3ic6LhQ
 
 
   LinkedIn - https://bit.ly/3ie6Q4U"
